architecture,board_slot_width,bus_interface,chip_package,display_connectors,double_float_performance,foundry,generation,half_float_performance,manufacturer,memory_type,name,pixel_rate,power_connectors,price,ray_tracing_cores,release_date,render_output_processors,shading_units,single_float_performance,streaming_multiprocessors,tensor_cores,texture_mapping_units,texture_rate
G200,Single-slot,PCI,,"1x DVI, 1x VGA",,UMC,G Series(G2xx),,Matrox,SDR,Millennium G250,0.096,None,0,0,1999-01-01,1,0,,0,0,1,0.096
G400,Single-slot,PCI,,"1x DVI, 1x VGA",,UMC,G Series(G4xx),,Matrox,SDR,Millennium G400,0.25,None,0,0,1999-05-20,2,0,,0,0,2,0.25
G400,Single-slot,PCI,,"1x DVI, 1x VGA",,UMC,G Series(G4xx),,Matrox,SDR,Millennium G400 MAX,0.3,None,0,0,1999-05-20,2,0,,0,0,2,0.3
Celsius,Single-slot,AGP 4x,,1x VGA,,TSMC,GeForce 2,,NVIDIA,DDR,GeForce2 GTS,0.8,None,0,0,2000-04-26,4,0,,0,0,8,1.6
Celsius,Single-slot,AGP 4x,,"1x VGA, 2x S-Video",,TSMC,GeForce 2,,NVIDIA,DDR,GeForce2 GTS PRO,0.8,None,0,0,2000-04-26,4,0,,0,0,8,1.6
Celsius,IGP,AGP 4x,,,,TSMC,GeForce2 Go,,NVIDIA,DDR,GeForce2 Go,0.286,None,0,0,2000-11-11,2,0,,0,0,4,0.572
Celsius,Single-slot,AGP 4x,,1x VGA,,TSMC,GeForce 2 MX,,NVIDIA,SDR,GeForce2 MX,0.35,None,0,0,2000-06-28,2,0,,0,0,4,0.7
Celsius,Single-slot,AGP 4x,,"2x VGA, 1x S-Video",,TSMC,GeForce 2 MX,,NVIDIA,SDR,GeForce2 MX DH Pro TV,0.35,None,0,0,2000-06-28,2,0,,0,0,4,0.7
Celsius,Single-slot,PCI,,"2x VGA, 1x S-Video",,TSMC,GeForce 2 MX PCI,,NVIDIA,SDR,GeForce2 MX DH Pro TV PCI,0.35,None,0,0,2000-06-28,2,0,,0,0,4,0.7
Celsius,Single-slot,PCI,,1x VGA,,TSMC,GeForce 2 MX PCI,,NVIDIA,SDR,GeForce2 MX PCI,0.35,None,0,0,2000-06-28,2,0,,0,0,4,0.7
Celsius,Single-slot,AGP 4x,,1x VGA,,TSMC,GeForce 2,,NVIDIA,DDR,GeForce2 PRO,0.8,None,0,0,2000-12-05,4,0,,0,0,8,1.6
Celsius,Single-slot,AGP 4x,,"1x DVI, 1x VGA",,TSMC,GeForce 2,,NVIDIA,DDR,GeForce2 Ultra,1.0,None,0,0,2000-08-14,4,0,,0,0,8,2.0
Celsius,Single-slot,AGP 4x,,1x VGA,,TSMC,Quadro2 Celcius,,NVIDIA,SDR,Quadro2 MXR,0.8,None,0,0,2000-07-25,4,0,,0,0,4,0.8
Celsius,Single-slot,AGP 4x,,1x VGA,,TSMC,Quadro2 Celcius,,NVIDIA,SDR,Quadro2 MXR Low Profile,0.8,None,0,0,2000-07-25,4,0,,0,0,4,0.8
Fahrenheit,Single-slot,AGP 2x,,1x VGA,,TSMC,TNT2,,NVIDIA,SDR,Vanta LT,0.21,None,0,0,2000-03-01,2,0,,0,0,2,0.21
Generation 1.0,IGP,FSB,,,,Intel,Graphics(IGP),,Intel,System Shared,i815 Graphics,0.133,,0,0,2000-01-01,1,0,,0,0,1,0.133
Rage 6,Single-slot,PCI,,"1x DVI, 2x S-Video",,TSMC,All-In-Wonder(7000),,ATI,DDR,All-In-Wonder Radeon 7200,0.332,None,0,0,2000-07-31,2,0,,0,0,6,0.996
IBM,Single-slot,AGP 4x,,"1x DVI, 1x VGA, 1x S-Video",,IBM,Fire GL,,ATI,DDR,Fire GL2,0.12,None,0,0,2000-06-01,1,0,,0,0,4,0.48
IBM,Single-slot,AGP 4x,,"1x DVI, 1x VGA, 1x S-Video",,IBM,Fire GL,,ATI,DDR,Fire GL3,0.12,None,0,0,2000-06-01,1,0,,0,0,4,0.48
Rage 5,,,,,,NEC,Console GPU(Nintendo),,ATI,SDR,GameCube GPU,0.648,,0,0,2000-08-24,4,0,,0,0,4,0.648
Rage 6,Single-slot,AGP 4x,,1x VGA,,TSMC,Radeon R100(7200),,ATI,DDR,Radeon 7200,0.332,None,0,0,2000-04-01,2,0,,0,0,6,0.996
Rage 6,Single-slot,AGP 4x,,"1x VGA, 1x S-Video",,TSMC,Radeon R100(7200),,ATI,DDR,Radeon 7200 64 MB,0.332,None,0,0,2000-04-01,2,0,,0,0,6,0.996
